,track,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target,decade
27,Can't Buy Me Love,The Beatles,0.844,0.299,0,-12.645,1,0.0621,0.848,0.844,0.102,0.566,102.088,131176,4,20.00939,6,1,60
30,Just Be Sincere,Jackie Wilson,0.515,0.699,0,-7.316,0,0.0483,0.657,0.0,0.154,0.783,111.28,175400,4,34.57855,9,1,60
32,Come Rain Or Come Shine,Ray Charles,0.357,0.216,3,-12.833,1,0.0343,0.767,4.31e-06,0.531,0.283,119.57,222733,4,37.34774,10,1,60
37,I Idolize You,Ike & Tina Turner,0.743,0.398,2,-8.328,0,0.048,0.808,0.0,0.106,0.833,118.568,170827,4,28.82001,9,1,60
39,See You In September,The Happenings,0.519,0.422,4,-8.732,1,0.0282,0.864,0.0,0.332,0.803,128.956,147227,4,30.01333,9,1,60
40,Where Did Our Love Go,The Supremes,0.566,0.49,0,-10.867,1,0.0414,0.791,1.42e-05,0.0919,0.847,134.934,153333,4,21.35312,9,1,60
42,Hip City - Pt. 2,Jr. Walker & The All Stars,0.611,0.686,0,-10.647,0,0.0508,0.126,0.00129,0.38,0.701,147.076,177973,4,97.57327,7,1,60
43,How Sweet It Is To Be Loved By You,Marvin Gaye,0.653,0.49,0,-10.106,1,0.0408,0.323,4.13e-06,0.0832,0.963,110.202,177773,4,45.44257,8,1,60
44,For Once In My Life,Tony Bennett,0.203,0.375,0,-8.781,1,0.0346,0.862,4.89e-05,0.137,0.222,71.94,186520,4,36.57447,9,1,60
49,For What It's Worth,The Staple Singers,0.763,0.621,2,-9.908,1,0.0374,0.655,0.0,0.158,0.825,103.309,144320,4,33.20734,6,1,60
55,Is It Really Over?,Jim Reeves,0.275,0.241,10,-14.526,1,0.0293,0.805,0.0124,0.135,0.221,80.842,134640,4,59.05727,7,1,60
56,Baby You're A Rich Man,The Beatles,0.619,0.625,7,-9.635,1,0.036,0.0119,1.05e-06,0.152,0.467,96.751,181307,4,21.41004,9,1,60
60,"Happy Birthday, Sweet Sixteen",Neil Sedaka,0.498,0.796,8,-4.882,1,0.0453,0.607,0.0,0.3,0.906,79.648,157027,4,30.47367,9,1,60
63,The Lone Teen Ranger,Jerry Landis,0.402,0.789,9,-6.148,1,0.124,0.891,0.0,0.294,0.949,172.346,139440,4,32.58046,7,1,60
64,Running Bear,Johnny Preston,0.772,0.297,5,-14.679,0,0.053,0.854,7.59e-06,0.125,0.822,119.987,158200,4,24.09932,10,1,60
65,"Sad, Sad Girl",Barbara Mason,0.306,0.495,5,-7.663,1,0.0273,0.621,0.0,0.37,0.666,165.462,193733,3,39.36782,10,1,60
67,Amor,Ben E. King,0.548,0.566,10,-11.876,1,0.0307,0.672,1.22e-05,0.112,0.805,100.813,187400,4,40.80977,10,1,60
68,Some Things You Never Get Used To,Diana Ross & The Supremes,0.668,0.835,0,-0.507,0,0.0341,0.0941,1.17e-06,0.116,0.821,125.228,145293,4,20.93334,9,1,60
69,There'll Come A Time,Betty Everett,0.66,0.743,8,-6.881,1,0.0325,0.302,0.0205,0.134,0.96,122.668,155867,4,33.07734,8,1,60
70,The Rains Came,Sir Douglas Quintet,0.573,0.671,7,-4.964,1,0.0308,0.495,1.5e-05,0.0487,0.932,132.734,136520,4,44.17469,7,1,60
71,The Loop,Johnny Lytle,0.784,0.508,0,-9.541,0,0.039,0.641,0.508,0.084,0.488,121.314,138493,4,52.50819,7,1,60
72,Jingle Jangle,The Archies,0.625,0.472,2,-11.18,1,0.0387,0.0368,0.0,0.148,0.617,109.302,162151,4,27.22585,9,1,60
73,Blue Autumn,Bobby Goldsboro,0.515,0.348,0,-12.457,1,0.0253,0.453,0.000227,0.339,0.266,92.746,185139,4,16.4416,11,1,60
74,Tell Him,The Exciters,0.708,0.616,5,-10.827,1,0.198,0.445,0.0,0.299,0.908,177.061,156160,4,33.57208,8,1,60
75,Out Of Limits,The Marketts,0.485,0.779,7,-14.235,1,0.039,0.367,0.432,0.18,0.483,133.223,129293,4,63.91615,8,1,60
76,The Letter,The Box Tops,0.638,0.428,9,-12.156,0,0.0687,0.252,0.0,0.132,0.901,139.434,112800,4,21.22195,6,1,60
78,Just A Little Bit Better,Herman's Hermits,0.622,0.644,3,-7.484,1,0.0367,0.586,0.0,0.0594,0.666,139.166,173653,4,20.97044,10,1,60
80,People Are Strange,The Doors,0.699,0.467,4,-8.578,0,0.0375,0.685,0.0,0.315,0.764,119.287,130173,4,40.04655,8,1,60
81,Let It Out (Let It All Hang Out),The Hombres,0.604,0.505,9,-12.404,1,0.0487,0.146,0.000286,0.0975,0.707,121.588,124080,4,40.20506,7,1,60
86,Bold Soul Sister,Ike & Tina Turner,0.775,0.688,3,-12.959,1,0.0699,0.224,0.0411,0.117,0.93,94.143,158508,4,42.2136,8,1,60
90,Leader Of The Laundromat,The Detergents,0.444,0.621,7,-9.138,0,0.271,0.697,2.51e-06,0.108,0.52,141.465,192293,4,65.42569,9,1,60
91,Ain't That Just Like Me,The Searchers,0.371,0.929,9,-5.37,1,0.133,0.646,0.0,0.348,0.836,157.875,145227,4,34.36707,7,1,60
92,Searching For My Love,Bobby Moore & The Rhythm Aces,0.677,0.661,4,-5.136,1,0.0436,0.114,5.44e-06,0.215,0.801,98.309,152693,4,37.60629,7,1,60
95,"Past, Present And Future",The Shangri-Las,0.349,0.208,8,-15.491,1,0.037,0.799,0.217,0.13,0.176,135.098,160267,3,24.0336,11,1,60
96,Atlantis,Donovan,0.326,0.313,0,-16.17,1,0.0348,0.177,0.000569,0.0828,0.344,76.785,302640,4,33.53011,13,1,60
99,My Song,Aretha Franklin,0.458,0.25,1,-8.087,1,0.0324,0.461,0.0,0.136,0.412,121.074,209080,3,29.1455,12,1,60
100,Julia,Ramsey Lewis,0.471,0.579,0,-12.62,1,0.0278,0.123,0.68,0.429,0.386,93.206,259360,4,41.9211,12,1,60
112,I Do,The Marvelows,0.543,0.715,9,-5.195,1,0.0579,0.752,0.0,0.107,0.862,99.055,150307,4,79.33959,5,1,60
113,Just Out Of Reach (Of My Two Empty Arms),Percy Sledge,0.374,0.148,7,-15.452,1,0.0305,0.467,7.25e-05,0.244,0.51,177.214,213573,3,29.53272,12,1,60
115,You Mean The World To Me,David Houston,0.585,0.377,5,-13.253,1,0.0407,0.856,0.053,0.105,0.431,120.386,135640,3,57.26536,7,1,60
117,Alabam,Cowboy Copas,0.719,0.653,2,-11.572,1,0.0305,0.378,0.00364,0.129,0.96,106.718,139907,4,38.28275,9,1,60
119,Tossing & Turning,The Ivy League,0.586,0.51,9,-9.072,1,0.0379,0.463,0.0,0.221,0.638,119.045,146187,4,41.28802,7,1,60
121,"Hickory, Dick And Doc",Bobby Vee,0.7,0.626,3,-11.611,1,0.0315,0.72,6.55e-05,0.0974,0.964,112.826,148640,4,29.03452,9,1,60
122,Strange I Know,The Marvelettes,0.632,0.758,0,-3.414,1,0.0257,0.551,0.0446,0.173,0.948,109.427,140987,4,26.75254,8,1,60
123,Cara-Lin,The Strangeloves,0.748,0.788,2,-11.284,1,0.067,0.135,3.81e-06,0.501,0.626,130.506,162333,4,19.26742,10,1,60
127,Nothing But Heartaches,The Supremes,0.579,0.554,5,-8.896,1,0.0286,0.084,0.0,0.219,0.491,124.067,177867,4,32.6183,8,1,60
128,"God, Country And My Baby",Johnny Burnette,0.486,0.526,11,-9.835,1,0.0415,0.21,0.00183,0.604,0.585,121.157,132467,4,53.36009,5,1,60
129,Na Na Hey Hey Kiss Him Goodbye,Steam,0.637,0.916,7,-6.95,1,0.0458,0.0139,2.27e-05,0.21,0.506,114.987,247173,4,43.50466,8,1,60
131,Psycho,Bobby Hendricks,0.648,0.539,7,-11.514,0,0.0503,0.836,0.0781,0.146,0.781,131.569,150067,4,87.64104,5,1,60
132,C'est Si Bon (It's So Good),Conway Twitty,0.58,0.617,0,-8.706,1,0.0493,0.727,0.0,0.393,0.831,120.496,134013,4,41.91757,8,1,60
133,She Loves You,The Beatles,0.377,0.916,4,-3.199,0,0.0481,0.26,0.0,0.074,0.912,75.533,140920,4,33.98704,7,1,60
135,I Don't Know Why,Stevie Wonder,0.42,0.483,1,-13.608,1,0.033,0.165,0.0,0.111,0.533,93.834,167027,4,36.89252,7,1,60
138,I Love You Because,Al Martino,0.29,0.2,8,-12.748,1,0.0275,0.894,0.000569,0.221,0.233,88.654,163400,4,24.92348,9,1,60
139,Ecstasy,Ben E. King,0.683,0.673,7,-10.406,1,0.0421,0.19,0.0,0.561,0.756,120.823,152976,4,24.59862,7,1,60
144,Can You Jerk Like Me,The Contours,0.556,0.742,8,-6.524,1,0.0524,0.612,2.6e-05,0.055,0.771,78.691,149293,4,50.60703,7,1,60
145,Angel,Johnny Tillotson,0.344,0.431,4,-9.631,1,0.0314,0.793,0.0,0.19,0.688,105.97,176667,3,60.09674,7,1,60
146,Alfie,Cilla Black,0.306,0.257,10,-10.658,1,0.0309,0.941,0.00654,0.118,0.157,145.148,159760,4,46.42505,8,1,60
149,Big Boy Pete,The Olympics,0.616,0.736,10,-9.156,1,0.058,0.83,0.0156,0.117,0.818,131.501,149123,4,30.07348,9,1,60
152,Who'll Be The Next In Line,The Kinks,0.33,0.858,11,-5.134,0,0.0552,0.052,0.0,0.0752,0.923,161.385,122627,4,27.08669,8,1,60
153,Burning Bridges,Jack Scott,0.465,0.276,2,-13.184,1,0.0242,0.809,0.000272,0.214,0.233,82.613,161733,4,31.35286,9,1,60
154,Here In My Heart,Al Martino,0.177,0.279,9,-10.951,0,0.0312,0.8,0.0024,0.153,0.155,82.967,193373,3,20.98618,9,1,60
160,You Didn't Have To Be So Nice,The Lovin' Spoonful,0.638,0.622,1,-10.035,0,0.0265,0.809,0.00385,0.0416,0.871,130.354,146400,4,21.2237,9,1,60
162,Without You,Johnny Tillotson,0.538,0.568,2,-5.7,1,0.0266,0.376,0.829,0.169,0.712,99.397,128800,3,34.85936,6,1,60
163,Half Heaven - Half Heartache,Gene Pitney,0.438,0.451,4,-8.681,1,0.0263,0.719,0.0,0.116,0.438,102.776,163307,4,29.02095,10,1,60
166,Sweet Dreams (Of You),Patsy Cline,0.321,0.0227,8,-22.698,1,0.0349,0.953,0.0,0.313,0.312,83.319,155733,4,23.66008,8,1,60
167,I Can Make It With You,Pozo Seco Singers,0.537,0.424,1,-11.448,1,0.0562,0.109,0.0,0.238,0.665,119.392,132453,4,21.89757,8,1,60
170,Mustang Sally,Wilson Pickett,0.725,0.327,0,-17.714,1,0.0387,0.113,0.326,0.214,0.688,110.438,187760,4,27.65453,11,1,60
172,Batman Theme,The Marketts,0.435,0.683,7,-13.837,1,0.0333,0.207,0.906,0.0723,0.921,146.541,162467,4,66.88441,5,1,60
174,Let's Twist Again,Chubby Checker,0.604,0.709,8,-6.377,1,0.158,0.0987,0.0,0.0551,0.907,167.832,137360,4,38.78992,9,1,60
175,Just A Little Bit,Blue Cheer,0.438,0.749,11,-10.815,0,0.0852,0.038,0.829,0.0762,0.567,126.825,205600,4,31.17982,10,1,60
182,Forever,The Little Dippers,0.519,0.45,5,-9.133,1,0.0244,0.281,6.12e-06,0.152,0.549,72.115,143161,4,61.24355,6,1,60
183,Heart In Hand,Brenda Lee,0.651,0.172,0,-14.556,1,0.038,0.841,0.000126,0.155,0.445,107.891,147640,3,21.77637,9,1,60
184,Brother Love's Travelling Salvation Show,Neil Diamond,0.428,0.432,8,-11.58,1,0.0288,0.575,0.00933,0.0888,0.808,135.142,211862,4,33.76803,11,1,60
185,I'll Hold Out My Hand,The Clique,0.562,0.715,2,-8.481,1,0.0272,0.522,0.0,0.185,0.908,102.009,157467,4,28.6427,8,1,60
189,What The World Needs Now Is Love,Jackie DeShannon,0.445,0.407,1,-9.501,1,0.0302,0.814,0.0,0.0964,0.531,105.7,186400,4,36.37958,9,1,60
193,Petticoat White (Summer Sky Blue),Bobby Vinton,0.599,0.648,10,-10.893,1,0.0301,0.456,0.0,0.336,0.806,105.316,143173,4,28.97965,8,1,60
194,Lullaby Of The Leaves,The Ventures,0.381,0.552,9,-15.091,0,0.032,0.661,0.811,0.282,0.965,159.946,118960,4,33.42258,7,1,60
196,T'ain't Nothin' To Me,The Coasters,0.431,0.374,9,-11.045,1,0.119,0.526,1.01e-05,0.94,0.287,134.071,278613,3,24.20992,15,1,60
198,I Can't Stop Dancing,Archie Bell & The Drells,0.565,0.729,0,-7.75,1,0.163,0.656,0.000147,0.0492,0.818,122.291,141373,4,30.88114,9,1,60
199,Baby It's You,Smith,0.595,0.471,1,-10.626,0,0.0295,0.0156,0.127,0.173,0.707,95.417,207613,4,32.21417,10,1,60
200,Worry,Johnny Tillotson,0.368,0.259,6,-11.115,1,0.0277,0.95,6.93e-06,0.115,0.415,82.312,135733,4,23.10522,8,1,60
201,Feel So Fine,Johnny Preston,0.555,0.723,7,-11.875,1,0.0536,0.683,0.0,0.115,0.925,169.864,129000,4,34.37603,7,1,60
204,I've Gotta Get A Message To You,Bee Gees,0.441,0.596,2,-6.327,0,0.0281,0.037,4.46e-06,0.172,0.497,83.411,177440,4,34.8822,9,1,60
208,You Never Can Tell,Chuck Berry,0.525,0.852,7,-9.519,1,0.222,0.731,5.11e-05,0.218,0.884,157.404,161907,4,27.64298,12,1,60
209,Oh Yeah,The Shadows Of Knight,0.658,0.405,9,-9.438,1,0.0356,0.242,6.57e-05,0.0943,0.666,119.878,168293,4,66.15212,10,1,60
211,(The Lament Of The Cherokee) Indian Reservation,Don Fardon,0.805,0.473,10,-12.999,1,0.0507,0.24,0.00516,0.177,0.519,124.618,201200,4,23.14466,14,1,60
214,I Heard It Through The Grapevine,Marvin Gaye,0.711,0.362,3,-10.851,0,0.0382,0.272,0.0,0.127,0.615,117.267,194293,4,39.45121,10,1,60
215,Pretty Little Baby,Marvin Gaye,0.593,0.549,7,-6.591,0,0.0279,0.8,0.0,0.118,0.865,109.465,155893,4,37.25066,9,1,60
218,Cry,Ronnie Dove,0.256,0.355,11,-12.827,1,0.0434,0.802,0.000187,0.254,0.372,72.275,179920,4,35.80117,9,1,60
219,Say You Love Me,The Impressions,0.253,0.454,2,-11.041,1,0.0361,0.393,2.69e-06,0.0556,0.541,168.486,185667,3,37.65256,9,1,60
220,There's Something On Your Mind (Part 2),Bobby Marchan,0.649,0.208,5,-19.217,1,0.532,0.825,0.0,0.0823,0.483,103.691,123373,5,38.8458,6,1,60
223,Tears And Roses,Al Martino,0.566,0.224,5,-15.366,1,0.0342,0.833,0.0,0.292,0.5,115.2,139600,3,50.60841,7,1,60
228,There Goes My Everything,Engelbert Humperdinck,0.407,0.312,10,-12.634,1,0.026,0.822,2.47e-06,0.0896,0.421,90.217,172867,3,20.76936,9,1,60
230,It Will Stand,The Showmen,0.67,0.507,7,-8.274,0,0.0387,0.717,0.0,0.182,0.847,145.581,142133,4,47.06948,6,1,60
233,Cycles,Frank Sinatra,0.477,0.148,1,-22.719,1,0.038,0.903,0.000376,0.111,0.291,128.251,190373,3,23.38268,13,1,60
234,Two-Bit Manchild,Neil Diamond,0.565,0.673,7,-12.46,1,0.0356,0.489,0.00677,0.236,0.895,89.028,187600,4,35.82462,10,1,60
235,I Know A Place,Petula Clark,0.45,0.805,11,-8.229,1,0.0684,0.792,2.98e-06,0.417,0.494,138.006,163373,4,23.81117,10,1,60
236,Give It Up Or Turnit A Loose,James Brown,0.703,0.88,11,-7.133,0,0.0608,0.00964,0.456,0.111,0.743,114.763,369960,4,93.84427,10,1,60
237,Funny Familiar Forgotten Feelings,Tom Jones,0.452,0.403,11,-10.898,1,0.0277,0.667,0.0,0.135,0.446,86.58,177707,3,22.05268,11,1,60
238,Love Is All We Need,Mel Carter,0.376,0.456,4,-8.367,1,0.0357,0.644,0.0,0.215,0.512,80.843,109333,4,40.02393,7,1,60
244,Real Humdinger,J.J. Barnes,0.718,0.672,0,-9.891,0,0.0444,0.265,0.0,0.257,0.926,134.134,317027,4,22.62621,15,1,60
248,"Little Darling, I Need You",Marvin Gaye,0.741,0.602,0,-10.458,1,0.0374,0.26,0.0,0.0951,0.837,130.1,155027,4,41.46711,7,1,60
251,See,The Rascals,0.463,0.902,0,-7.908,1,0.044,0.338,0.000224,0.248,0.661,116.685,303960,4,94.17524,13,1,60
254,Hey Little Cobra,The Rip Chords,0.563,0.754,6,-7.442,1,0.0676,0.531,0.0,0.379,0.918,156.664,119960,4,36.87763,8,1,60
256,From The Bottom Of My Heart (I Love You),The Moody Blues,0.483,0.578,0,-7.506,1,0.0321,0.521,0.000325,0.0864,0.523,107.425,206693,4,19.2725,10,1,60
257,It Won't Be Wrong,The Byrds,0.496,0.701,9,-9.506,1,0.0401,0.295,0.000111,0.202,0.86,123.148,117893,4,42.21502,6,1,60
258,California Dreamin',The Mamas & The Papas,0.552,0.608,1,-9.786,0,0.0345,0.352,0.0,0.0533,0.637,112.367,162373,4,50.92597,7,1,60
259,Point Of No Return,Adam Wade,0.38,0.13,2,-17.021,1,0.0306,0.825,0.0,0.14,0.217,100.939,180667,4,61.13558,7,1,60
260,Remember When,Wayne Newton,0.593,0.363,5,-13.757,1,0.0345,0.811,0.0,0.212,0.783,131.7,136067,4,24.3469,7,1,60
261,That Old Black Magic,Bobby Rydell,0.475,0.831,8,-6.502,1,0.318,0.59,0.0,0.386,0.731,177.452,144707,4,48.69441,7,1,60
262,Sunday For Tea,Peter And Gordon,0.589,0.426,5,-8.021,1,0.0335,0.717,0.0,0.0586,0.562,61.698,142320,4,65.47811,7,1,60
264,Eternally,The Chantels,0.222,0.459,6,-6.538,1,0.0308,0.951,0.000162,0.322,0.236,178.879,165627,3,41.47399,7,1,60
265,Young And In Love,Chris Crosby,0.461,0.644,2,-3.012,1,0.0396,0.65,4.42e-05,0.0809,0.794,128.995,145267,4,53.47052,7,1,60
268,3rd Man Theme,Herb Alpert & The Tijuana Brass,0.553,0.677,4,-10.831,0,0.0712,0.423,0.962,0.185,0.768,153.174,153973,4,36.52598,6,1,60
269,Saturday Night At The Movies,The Drifters,0.708,0.544,6,-7.377,1,0.0503,0.646,0.0,0.121,0.923,135.241,153627,4,35.69264,7,1,60
272,"Bill Bailey, Won't You Please Come Home",Ella Fitzgerald,0.604,0.541,5,-8.676,0,0.0634,0.371,0.0,0.808,0.744,132.284,203627,4,36.00968,9,1,60
277,Come Back Silly Girl,The Lettermen,0.408,0.364,7,-14.743,1,0.0277,0.665,0.00862,0.301,0.429,96.429,147493,4,30.16817,9,1,60
278,Bring It On Home To Me,Eddie Floyd,0.725,0.435,0,-14.235,1,0.0419,0.154,0.000756,0.188,0.866,123.455,151467,4,19.95954,7,1,60
279,Foggy Mountain Breakdown,Flatt & Scruggs,0.407,0.479,2,-14.781,1,0.0329,0.191,0.901,0.352,0.919,155.252,140413,4,26.5629,8,1,60
282,Tonight's The Night,Solomon Burke,0.318,0.476,7,-9.534,1,0.029,0.401,0.0,0.6,0.633,173.305,161187,3,20.94965,9,1,60
285,31 Flavors,The Shirelles,0.662,0.671,0,-3.045,1,0.0294,0.304,0.0,0.341,0.92,130.922,118333,4,38.32771,6,1,60
286,Brooklyn Roads,Neil Diamond,0.536,0.577,2,-8.955,1,0.0314,0.574,0.000126,0.162,0.496,120.992,218680,4,40.91106,10,1,60
287,Daydream Believer,The Monkees,0.51,0.488,7,-10.304,1,0.0304,0.256,0.0,0.11,0.649,125.683,179613,4,43.48787,9,1,60
288,Mame,Herb Alpert & The Tijuana Brass,0.71,0.567,4,-9.394,0,0.0399,0.481,3.34e-06,0.0784,0.749,149.319,127293,4,38.99697,6,1,60
290,Come On And See Me,Tammi Terrell,0.589,0.758,1,-4.158,1,0.0315,0.0715,0.00842,0.104,0.869,113.864,140267,4,61.10432,6,1,60
291,Soul Serenade,Willie Mitchell,0.746,0.255,10,-15.91,1,0.0314,0.555,0.896,0.077,0.572,106.065,141800,4,45.47365,8,1,60
292,Doggin' Around,Jackie Wilson,0.541,0.366,5,-9.19,1,0.0252,0.938,0.445,0.107,0.425,94.809,173027,3,34.15322,10,1,60
293,I Got You Babe,Sonny & Cher,0.629,0.795,6,-6.02,1,0.0278,0.136,5.44e-06,0.132,0.6,110.583,190080,3,28.82459,12,1,60
294,My Lover's Prayer,Otis Redding,0.688,0.224,9,-13.569,1,0.0466,0.847,6.56e-05,0.3,0.522,123.452,191053,3,46.02772,10,1,60
298,You Don't Own Me,Lesley Gore,0.473,0.434,2,-10.02,1,0.0257,0.701,0.0,0.628,0.711,94.815,150000,3,26.96711,10,1,60
299,Pop Pop Pop - Pie,The Sherrys,0.641,0.695,10,-9.841,1,0.0304,0.0856,1.5e-05,0.177,0.965,132.627,134227,4,48.41059,7,1,60
300,Over Under Sideways Down,The Yardbirds,0.529,0.861,11,-10.581,1,0.0784,0.292,0.225,0.314,0.387,96.52,142507,4,30.42861,8,1,60
301,"Jane, Jane, Jane",The Kingston Trio,0.548,0.421,0,-10.66,1,0.0362,0.44,0.0,0.363,0.831,144.778,144267,4,42.51936,7,1,60
302,Little Red Rented Rowboat,Joe Dowell,0.757,0.601,0,-9.295,1,0.0395,0.806,3.24e-06,0.179,0.89,83.957,150640,4,38.68454,9,1,60
305,At The Scene,The Dave Clark Five,0.607,0.67,0,-8.887,1,0.0448,0.0102,0.0,0.076,0.907,127.101,111733,4,36.8496,6,1,60
307,Men Are Gettin' Scarce,Joe Tex,0.641,0.618,11,-13.79,1,0.0669,0.148,0.0,0.761,0.862,101.047,192838,4,40.49375,8,1,60
308,No Good To Cry,The Wildweeds,0.496,0.599,2,-6.639,0,0.034,0.504,0.0,0.176,0.709,170.326,162920,4,28.07337,8,1,60
310,Hold Me Tight,Johnny Nash,0.766,0.176,3,-20.756,0,0.0945,0.605,2.31e-05,0.0656,0.687,90.404,163373,4,39.08141,8,1,60
314,Penny Lane,The Beatles,0.651,0.488,9,-8.22,1,0.0316,0.212,0.026,0.136,0.49,113.038,180893,4,18.27563,11,1,60
315,Try A Little Kindness,Glen Campbell,0.323,0.666,4,-5.925,1,0.0335,0.31,0.0,0.163,0.734,176.455,146293,4,33.27774,7,1,60
316,Ling-Ting-Tong,Buddy Knox,0.685,0.677,11,-11.172,1,0.0606,0.772,0.00377,0.133,0.901,133.75,128067,4,49.2066,6,1,60
321,"Lara's Theme from ""Dr. Zhivago""",Roger Williams,0.361,0.28,7,-13.422,1,0.0294,0.821,0.435,0.144,0.213,82.298,160173,3,38.22192,8,1,60
324,Testify (I Wonna),Johnnie Taylor,0.715,0.542,10,-11.467,1,0.033,0.609,1.74e-06,0.21,0.865,114.864,243293,4,35.01789,11,1,60
325,There's No Living Without Your Loving,Peter And Gordon,0.402,0.675,10,-8.872,1,0.0438,0.596,0.0,0.248,0.672,104.505,181640,4,27.59591,9,1,60
326,Blue Moon,The Ventures,0.646,0.526,3,-11.051,0,0.0456,0.921,0.801,0.103,0.726,149.0,134867,4,40.82342,5,1,60
327,You've Made Me So Very Happy,Brenda Holloway,0.511,0.434,7,-11.185,1,0.028,0.212,0.0,0.154,0.778,98.645,173227,4,72.05739,8,1,60
328,She's A Lady,John Sebastian,0.326,0.114,6,-21.525,0,0.0368,0.814,6.9e-06,0.106,0.277,70.233,104025,5,25.52686,5,1,60
329,If I Ruled The World,Tony Bennett,0.274,0.329,5,-10.076,1,0.0327,0.69,0.000176,0.549,0.128,138.715,174947,4,28.048,11,1,60
330,"I'm Henry VIII, I Am",Herman's Hermits,0.692,0.865,9,-5.596,1,0.0755,0.279,0.0,0.0594,0.949,98.305,106053,4,23.16413,5,1,60
331,Little Queenie,Bill Black's Combo,0.725,0.772,5,-8.814,1,0.0354,0.423,0.701,0.06,0.947,142.601,128373,4,72.64744,5,1,60
332,Sleepy Joe,Herman's Hermits,0.583,0.547,9,-7.787,1,0.0263,0.29,0.0,0.399,0.827,102.946,194000,4,46.29219,10,1,60
335,Shake A Tail Feather,James & Bobby Purify,0.627,0.66,1,-6.86,1,0.033,0.0784,3.83e-06,0.366,0.96,76.621,127827,4,33.63095,9,1,60
338,Gee,The Pixies Three,0.617,0.494,0,-13.96,1,0.0325,0.637,0.0,0.0857,0.92,92.474,143387,4,33.90092,8,1,60
339,Help Yourself (To All Of My Lovin'),James & Bobby Purify,0.654,0.703,2,-7.06,0,0.0399,0.717,0.0,0.388,0.88,138.114,135533,4,30.28242,10,1,60
346,Dizzy,Tommy Roe,0.802,0.407,6,-10.857,1,0.0309,0.00727,0.00147,0.0626,0.821,104.058,176693,4,34.01089,8,1,60
347,When I Fall In Love,Etta Jones,0.311,0.361,0,-9.295,1,0.0303,0.919,0.145,0.177,0.28,77.496,177093,1,35.08472,8,1,60
349,Climb Ev'ry Mountain,Tony Bennett,0.187,0.425,9,-8.776,1,0.0312,0.962,0.000823,0.211,0.226,74.407,141493,1,53.75417,5,1,60
351,Cleo's Mood,Jr. Walker & The All Stars,0.726,0.401,3,-7.524,0,0.0323,0.782,0.323,0.168,0.852,106.476,161973,4,71.89978,5,1,60
353,Loddy Lo,Chubby Checker,0.66,0.642,5,-7.109,1,0.0407,0.139,0.0,0.0652,0.943,174.249,131133,4,43.49126,6,1,60
354,"Well, I Told You",The Chantels,0.546,0.669,1,-10.922,0,0.0449,0.724,0.000189,0.497,0.725,92.659,145133,4,24.3761,8,1,60
355,Hey! Baby,Bruce Channel,0.515,0.623,9,-5.597,1,0.036,0.359,0.0,0.274,0.643,64.253,143627,4,59.12903,6,1,60
356,El Paso,Marty Robbins,0.654,0.452,2,-9.709,1,0.03,0.835,2.89e-05,0.16,0.691,106.662,259307,3,48.24968,11,1,60
358,Billie Baby,Lloyd Price,0.382,0.449,11,-14.24,1,0.049,0.966,0.353,0.427,0.627,141.112,180213,4,42.18461,10,1,60
